| Configuration: Fuel Internal - N2O External | | | | | | | | | | Configuration: N2O Internal - Fuel External | | | | | | | | |
| ------------------------------------------- | --------- | ---- | ---------- | ----------- | --------- | ------ | --------------------- | ----------------- | ------------ | ------------------------------------------- | | | ------------- | --------- | ---- | ---------- | ----------- | ------------------ |
| | | | | | | | | | | | | | | | | | | | | | | | | |
| Hole diameter | Hole area | Rows | Holes/Rows | Total holes | Mass flow | Error | Angular spacing [deg] | Arc distance [mm] | rPintle [mm] | Annulus width [mm] | | | Hole diameter | Hole area | Rows | Holes/Rows | Total holes | Mass flow | Error | Angular spacing [deg] | Arc distance [mm] | rPintle [mm] | Annulus width [mm] | |
| 0,60 mm | 0.282743 | 5 | 10 | 50 | 0.4342 | 6.74% | 36.00 | 4.971 | 8.87 | 0.75 | | | 0,60 mm | 0.2827433 | 5 | 32 | 160 | 1.3251 | 1.86% | 11.25 | 1.141 | 8.87 | 0.27 | |
| 0,60 mm | 0.282743 | 5 | 10 | 50 | 0.4342 | 6.74% | 36.00 | 5.767 | 10.13 | 0.66 | | | 0,60 mm | 0.2827433 | 5 | 32 | 160 | 1.3251 | 1.86% | 11.25 | 1.390 | 10.13 | 0.24 | |
| 0,60 mm | 0.282743 | 5 | 10 | 50 | 0.4342 | 6.74% | 36.00 | 6.563 | 11.40 | 0.59 | | | 0,60 mm | 0.2827433 | 5 | 32 | 160 | 1.3251 | 1.86% | 11.25 | 1.638 | 11.40 | 0.21 | |
| 0,60 mm | 0.282743 | 5 | 10 | 50 | 0.4342 | 6.74% | 36.00 | 7.359 | 12.67 | 0.53 | | | 0,60 mm | 0.2827433 | 5 | 32 | 160 | 1.3251 | 1.86% | 11.25 | 1.887 | 12.67 | 0.19 | |
| | | | | | | | | | | | | | | | | | | | | | | | | |
| | | | | | | | | | | | | | | | | | | | | | | | | |
| Hole diameter | Hole area | Rows | Holes/Rows | Total holes | Mass flow | Error | Angular spacing [deg] | Arc distance [mm] | rPintle [mm] | Annulus width [mm] | | | Hole diameter | Hole area | Rows | Holes/Rows | Total holes | Mass flow | Error | Angular spacing [deg] | Arc distance [mm] | rPintle [mm] | Annulus width [mm] | |
| 0,80 mm | 0.502655 | 1 | 30 | 30 | 0.4632 | 0.52% | 12.00 | 0.792 | 7.60 | 0.86 | | | 0,80 mm | 0.5026548 | 1 | 91 | 91 | 1.3398 | 0.77% | 3.96 | \-0.275 | 7.60 | 0.31 | |
| 0,80 mm | 0.502655 | 1 | 30 | 30 | 0.4632 | 0.52% | 12.00 | 1.057 | 8.87 | 0.75 | | | 0,80 mm | 0.5026548 | 1 | 91 | 91 | 1.3398 | 0.77% | 3.96 | \-0.188 | 8.87 | 0.27 | |
| 0,80 mm | 0.502655 | 1 | 30 | 30 | 0.4632 | 0.52% | 12.00 | 1.322 | 10.13 | 0.66 | | | 0,80 mm | 0.5026548 | 1 | 91 | 91 | 1.3398 | 0.77% | 3.96 | \-0.100 | 10.13 | 0.24 | |
